index,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud,
955470,1/19/2020 3:37,6.53889E+15,"fraud_Gottlieb, Considine and Schultz",12,988.84,Jodi,Rodriguez,F,5796 Lee Coves Apt. 286,Walnut Ridge,AR,72476,36.0244,-90.9288,7155,"Engineer, control and instrumentation",3/23/1977,a01b1f1e976dd750a78672199346b799,1358566621,35.399805,-91.064403,1,0.47067373
1348,1/1/2019 15:21,3.00E+13,"fraud_Yost, Schamberger and Windler",8,21.86,Curtis,Young,M,4319 Watson Shoals Suite 658,Falconer,NY,14733,42.1239,-79.1895,3833,Metallurgist,10/9/1970,27bddb038a4fb37502d0d83ec86d74bf,1325431316,41.527684,-78.701503,0,0.083620542
321289,6/3/2019 0:10,3.89E+13,fraud_Hickle Group,13,776.56,Lori,Rodriguez,F,12087 Michael Light,Creola,OH,45622,39.3543,-82.503,321,"Copywriter, advertising",6/24/1979,cc7937d35121ed45efeb09ca64c0766e,1338682237,39.901589,-82.392712,1,0.780674161
2517,1/2/2019 2:58,4.89042E+18,"fraud_Robel, Cummerata and Prosacco",3,73.25,Jeremy,Whitney,M,0371 Aimee Neck Suite 856,Sacramento,CA,95827,38.5662,-121.3286,757530,Magazine features editor,4/30/1979,d6a51ec7f1efc157526f24f3a8a1fbc9,1325473094,38.118467,-121.411543,0,0.586523521
337260,6/9/2019 2:00,6.39E+11,"fraud_Christiansen, Goyette and Schamberger",3,11,Destiny,Lowe,F,79472 Stevens Trace Apt. 120,Hannawa Falls,NY,13647,44.6087,-74.9732,69,Chief Executive Officer,6/5/1991,3ee59d15518bc18376d1e1faa69fe8f4,1339207210,45.140473,-74.069358,1,0.853248988
538483,8/19/2019 0:45,3.01E+13,"fraud_Romaguera, Cruickshank and Greenholt",12,978.19,Amanda,Williams,F,02018 Gary Key Apt. 911,Independence,MO,64058,39.1412,-94.3515,123373,"Engineer, production",11/27/1992,53bf4a2c5a4bc25ce3d9f02078252540,1345337159,40.065694,-94.90148,1,0.343360476
98172,2/27/2019 0:45,6.01131E+15,"fraud_Raynor, Reinger and Hagenes",3,8.9,Daniel,Jones,M,290 Kathryn Fall,Huntsville,AL,35803,34.6205,-86.551,190178,"Engineer, automotive",6/6/1959,3d58ce47905d3a5a924c06ac370cdfc9,1330303504,35.458737,-86.056746,1,0.56958153
2942,1/2/2019 13:42,4.12454E+15,fraud_Schiller Ltd,11,137.2,Sydney,Montoya,F,265 Christian Summit Suite 231,Fairhope,AL,36532,30.5012,-87.8835,27829,"Presenter, broadcasting",7/21/1954,82ad50ab70fd0dc0f0df27071abdee6a,1325511769,31.01857,-86.92861,0,0.006891216
708,1/1/2019 9:11,5.74E+11,fraud_Pacocha-O'Reilly,5,40.8,Cristian,Jones,M,0423 Kirby Field Suite 623,Wilmette,IL,60091,42.0765,-87.7246,27020,Trade mark attorney,7/23/1986,3f9e48f572864c44ff5cf456482a7568,1325409096,41.550389,-87.3182,0,0.021306232
631886,9/25/2019 23:42,4.83962E+15,fraud_Fisher-Schowalter,12,1001.79,Phillip,Robertson,M,85344 Smith Gateway Apt. 280,Harrodsburg,IN,47434,39.013,-86.5457,76,Social researcher,5/6/1955,fb2e5f019cd9840cdf0fb1e5ddae8b48,1348616573,39.27045,-87.35677,1,0.622984341
